qid,problem_number,expected,full_run_answer,attempts,correct_attempts,all_recorded_answers,stable_miss,peer_validation_full_run,athena_full_run,aria_full_run,artemis_full_run,topic,failure_mode,what_went_wrong,study_material,v34_axis
aime2025_09,9,29,4133,2,0,"6, 4133",True,disagreement_open,4133/98,841/95,4133/98,Conditional probability on die-face sticker survival,"Aria/Artemis disagreed, denominator logic was unstable, but Athena finalized anyway.","Reports disagree about valid sequence counts and denominator construction. The math failure is conditioning under overwrites: visible stickers are survival events, not independent face choices.",State-space conditioning for overwrite processes; survival/no-future-hit events; denominator reconstruction by explicit face-state DP.,conditional probability state DP
aime2025_10,10,156,133,2,0,"54, 133",True,disagreement_open,133/95,none/0,none/0,Rotated triangle and nonconvex hexagon area,Open geometric/arithmetic blocker became a confident final answer.,Both peer reports explicitly reported unresolved shoelace/orientation disagreement. Athena finalized from a non-closed geometry route.,Circumcenter rotation coordinates; oriented shoelace for named vertex order; validate sign and winding before nearest-integer closeout.,oriented geometry finish check
aime2025_15,15,83,1,2,0,"2, 1",True,confidence_aligned,1/100,1/95,1/100,Partitioning a 10x10 grid into rectangular cell loops,False uniqueness proof for nested squares.,The roles assumed the concentric-square decomposition was unique and did not enumerate strip/frame alternatives.,Transfer/backtracking enumeration of loop tilings; boundary-frame recursion; counterexample search before uniqueness claims.,tiling enumeration instead of uniqueness assertion
aime2025_17,17,243,69,5,0,"32, 7, 32, 198, 69",True,disagreement_open,69/90,none/0,69/90,Directed path count in a ladder/diagonal graph without edge reuse,Repeated false closeouts across every recorded AIME-2026 attempt.,The controller repeatedly accepted high-confidence wrong answers. The underlying math needs graph-state transfer because no-repeated-edge couples local choices across columns.,Transfer matrix on frontier states; directed edge-use constraints; compute N by column DP and only then take square root.,state transfer for graph walks
aime2025_29,29,157,5,2,0,"8, 5",True,peer_aligned_waiting_athena,5/95,5/95,5/95,Left-associative custom operation over compositions of 12,Stable undercount by invariant-only reasoning.,Reports compressed the process into a subtraction-sum invariant and did not enumerate accumulator states over all compositions.,"Dynamic programming over partial sum, accumulator value, and parity; composition enumeration; verify invariants against DP.",state DP for custom operations
aime2025_30,30,393,364,2,0,"70, 364",True,disagreement_open,364/95,none/0,none/0,Ordered 7-tuples modulo 3 with cyclic cubic sum,"Enumeration acknowledged incomplete, then Athena finalized.",Both peers reported unresolved enumeration under the mod-3 sum constraint. Athena emitted a number anyway.,Modulo-3 enumeration; condition on total sum; truth tables for cyclic cubic terms; exhaustive 3^7 or compressed DP.,finite-field exhaustive enumeration
aime2025_07,7,396,341,2,1,"396, 341",False,confidence_aligned,341/99,341/99,341/98,Permutation cycle types / order divides 6,Complete consensus on a count with a missing conjugacy-class case.,"All roles counted permutations whose cycle lengths divide 6, but omitted one legal cycle type. The method was right; the partition checklist was incomplete.",Cycle-type partition checklist; conjugacy class formula; mandatory exhaustive partition ledger before final summation.,enumerative completeness guard
aime2025_11,11,896,584,3,2,"896, 896, 584",False,disagreement_open,584/100,584/98,736/99,Maximizing grid adjacent differences,Peer disagreement between two degree-sorting totals; Athena selected one.,"The route recognized bipartite separation but mishandled degree distribution by partition/color and assignment weights. Later runs recovered this, so it is a recoverable audit-route failure.",Checkerboard partitions on 8x8 grid; degree counts by color; rearrangement inequality with signed degree weights.,weighted rearrangement audit
aime2025_18,18,503,505,2,1,"503, 505",False,disagreement_open,505/95,503/98,505/0,Nonconvex pentagon coordinates and modular area filter,Near miss by off-by-two count.,The route likely had the right coordinate family but leaked boundary cases through strict inequalities or area divisibility.,Coordinate parametrization of nonconvex pentagons; strict inequalities; modular area divisibility and endpoint audits.,endpoint and inequality audit
aime2025_21,21,50,18,3,1,"50, 37, 18",False,peer_aligned_waiting_athena,18/100,18/100,18/92,"Circle tangent to parabola, sum of possible radii",Recoverable algebraic route failure.,The failed run did not consistently reduce tangency to normal-distance conditions and sum all real radii. A later selected run solved it.,Parabola normal parametrization; distance-to-center radius equation; discriminant/root-sum finish.,analytic tangency normal route
aime2025_23,23,245,125,2,1,"245, 125",False,disagreement_open,125/95,none/0,none/0,Isosceles triangle incenter and integer side constraints,Open trig/number-theory blocker finalized as a candidate.,Peer reports identified a bad half-angle/inradius formula and unresolved integer constraints. The final answer was emitted despite no closed Diophantine route.,Incenter perimeter formulas; half-angle identities; integer side constraints; rationality checks before minimization.,geometry-to-Diophantine audit
aime2025_24,24,669,558,2,1,"669, 558",False,confidence_aligned,558/95,558/100,558/100,Infinite decimal/geometric series floor modulo 1000,Consensus on coefficient extraction with floor/carry error.,The model extracted late coefficients but mishandled the tail/floor carry. The tail must be bounded tightly enough to know the floor modulo 1000.,Series coefficient extraction; tail bounds; floor carry audit under multiplication by 10^100.,floor/tail carry discipline
aime2025_28,28,107,12,2,1,"107, 12",False,disagreement_open,12/100,none/0,12/100,Counting cousin sets for finite integer sets,Capacity lower bound mistaken for exact-achievability proof.,"The route proved a lower bound and enough capacity, then invented an exact construction. Exact target count requires structural counting.",Matching-count DP for neighbor choices; exact construction counts; never use capacity as existence without a constructive count.,exact combinatorial construction audit
