"run_key","run_label","idx","id","answer","expected_answer","correct","valid_answer","status","closeout_mode","total_tokens","time_taken_seconds","turns","loops","total_prompt_tokens","total_completion_tokens","peer_validation_ready","peer_candidates","athena_confidence_pct"
"official","Apr28 official boot run","1","aime2025_01","277","277","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","105380","228.912","12","1","88187","17193","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","2","aime2025_02","62","62","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","135253","357.7149","12","1","108359","26894","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","3","aime2025_03","79","79","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","110137","273.9094","12","1","89527","20610","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","4","aime2025_04","70","70","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","111291","279.1192","12","1","90348","20943","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","5","aime2025_05","65","65","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","116443","281.2594","12","1","95322","21121","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","6","aime2025_06","441","441","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","110072","268.6733","12","1","89787","20285","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","7","aime2025_07","341","396","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","99059","229.2451","12","1","81821","17238","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","8","aime2025_08","244","244","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","105509","239.9297","12","1","87432","18077","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","9","aime2025_09","4133","29","False","False","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","170542","579.2131","12","1","126930","43612","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","10","aime2025_10","133","156","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","174336","569.0881","12","1","131566","42770","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","11","aime2025_11","584","896","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","143201","384.9992","12","1","114282","28919","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","12","aime2025_12","161","161","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","123315","324.2881","12","1","98860","24455","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","13","aime2025_13","39","39","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","165446","470.1735","12","1","130112","35334","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","14","aime2025_14","681","681","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","110315","359.246","11","1","83059","27256","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","15","aime2025_15","1","83","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","106119","327.0739","12","1","81455","24664","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","16","aime2025_16","178","178","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","90200","192.1302","12","1","75772","14428","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","17","aime2025_17","69","243","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","170895","570.2475","12","1","128071","42824","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","18","aime2025_18","505","503","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","168772","491.1272","12","1","132041","36731","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","19","aime2025_19","279","279","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","122336","333.2603","12","1","97296","25040","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","20","aime2025_20","190","190","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","123833","301.0077","12","1","101224","22609","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","21","aime2025_21","18","50","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","115795","354.3951","11","1","89003","26792","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","22","aime2025_22","754","754","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","153697","419.6676","12","1","122112","31585","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","23","aime2025_23","125","245","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","172481","592.7144","12","1","127775","44706","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","24","aime2025_24","558","669","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","123632","299.5798","12","1","101076","22556","True","Aria:/; Artemis:/",""
"official","Apr28 official boot run","25","aime2025_25","850","850","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","125317","341.2058","12","1","99583","25734","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","26","aime2025_26","132","132","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","148839","483.8578","12","1","112306","36533","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","27","aime2025_27","223","223","True","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","178898","554.0758","12","1","137165","41733","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","28","aime2025_28","12","107","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","116594","391.0469","12","1","87060","29534","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","29","aime2025_29","5","157","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","166739","532.2325","12","1","126694","40045","False","Aria:/; Artemis:/",""
"official","Apr28 official boot run","30","aime2025_30","364","393","False","True","closed_out_simple_answer_arbitration","athena_mandatory_final_answer_turn","168932","527.6847","12","1","129193","39739","False","Aria:/; Artemis:/",""
