idx,submitted,expected,correct,failure_mode,v32_class,class_label,teachable_skill,architecture_read,teach_priority,peer_validation_status,peer_validation_ready,turn_contract_damage_count,athena_confidence_pct,controller_confidence_ceiling
4,137,70,False,image_vs_witness_count,C1,image vs witness,"Count distinct outputs, not witness representations.",All roles aligned on the same false object; schema confidence amplified a shared abstraction error.,5,answer_aligned_waiting_confidence,False,1,100,96
9,6,29,False,conditional_denominator_and_closeout,C2,conditional ledger,"Keep target, condition, and intersection separate before counting.","Disagreement-open state existed, but final arbitration still selected a numeric answer.",5,disagreement_open,False,5,95,78
10,54,156,False,coordinate_arithmetic_closeout,C4,geometry closure,"Do not close coordinate geometry until coordinates, branch, determinant, and rounding are explicit.",Route agreement language substituted for independent final arithmetic.,4,disagreement_open,False,6,92,78
15,2,83,False,tiling_exact_cover_completeness,C5,exact-cover completeness,"Require classification, invariant, or exact-cover enumeration before excluding non-strip cases.",Peer consensus collapsed route space; no contradiction was triggered because both peers shared the same missing family.,5,confidence_aligned,True,7,95,100
17,198,243,False,endpoint_path_recurrence_and_closeout,C3,endpoint recurrence,Use state recurrences for fixed-endpoint paths; local branch multipliers are not endpoint counts.,"Both peers had no exact candidate and hard blockers, yet finalization emitted a confident answer above the controller ceiling.",5,insufficient_peer_validation,False,8,95,60
18,503,503,True,correct_but_loose_closeout,CONTROL,closeout gate,A correct answer still needs a clean validation state before being treated as a reliable architecture win.,"Current recovered a problem both paper runs missed, but peer_validation_ready remained false.",3,peer_aligned_waiting_athena,False,4,98,92
21,37,50,False,answer_contract_mismatch_noninteger_expression,C4,answer contract,"If an integer benchmark route yields a non-integer expression, reopen the answer contract instead of coercing one term into the final box.","Both peers exposed non-integer/no-exact-integer state, but mandatory finalization submitted 37 at 100 confidence under disagreement_open.",5,disagreement_open,False,2,100,78
23,245,245,True,correct_but_loose_closeout,CONTROL,closeout gate,A correct answer should still require a clean validation state before being counted as architecture-reliable.,"The answer was right, but peer_validation_ready was false at closeout.",3,peer_aligned_waiting_athena,False,4,100,92
24,669,669,True,correct_but_loose_closeout,CONTROL,closeout gate,A correct answer should still require a clean validation state before being counted as architecture-reliable.,"The answer was right, but peer_validation_ready was false at closeout.",3,peer_aligned_waiting_athena,False,2,99,92
25,850,850,True,correct_but_loose_closeout,CONTROL,closeout gate,A correct answer should still require a clean validation state before being counted as architecture-reliable.,"The answer was right, but peer_validation_ready was false at closeout.",3,answer_aligned_waiting_confidence,False,1,100,96
26,132,132,True,correct_but_loose_closeout,CONTROL,closeout gate,Correct answers still need clean peer validation and confidence ceiling compliance.,"Right result, but peer_validation_ready was false at closeout.",3,peer_aligned_waiting_athena,False,6,95,92
27,67,223,False,geometry_center_distance_closure,C4,geometry center-distance closure,Do not close 3D/coordinate geometry when both peers have no exact candidate and center-distance arithmetic is unresolved.,"Both peers reported no exact candidate, yet finalization boxed 67 above a 60 confidence ceiling.",5,insufficient_peer_validation,False,7,95,60
28,107,107,True,correct_but_loose_closeout,CONTROL,closeout gate,Correct answers still need clean peer validation and confidence ceiling compliance.,"Right result, but peer_validation_ready was false at closeout.",3,peer_aligned_waiting_athena,False,4,100,92
29,8,157,False,state_recurrence_negative_recovery,C3,state recurrence with recovery,Track signed intermediate state space; local positive-composition counts miss negative recovery paths.,Aria stayed open on negative intermediates while Artemis supplied 8; controller closed under disagreement_open.,5,disagreement_open,False,5,100,78
30,70,393,False,modular_enumeration_incomplete,C5,modular enumeration completeness,Complete modular case enumeration before accepting a structural shortcut.,Aria had an explicit enumeration blocker while Artemis supplied 70; controller closed under disagreement_open.,5,disagreement_open,False,7,95,78
